Date,NewCases,CumCases
2020-01-31,2,2
2020-02-01,0,2
2020-02-02,0,2
2020-02-03,0,2
2020-02-04,0,2
2020-02-05,0,2
2020-02-06,1,3
2020-02-07,0,3
2020-02-08,0,3
2020-02-09,1,4
2020-02-10,4,8
2020-02-11,0,8
2020-02-12,0,8
2020-02-13,1,9
2020-02-14,0,9
2020-02-15,0,9
2020-02-16,0,9
2020-02-17,0,9
2020-02-18,0,9
2020-02-19,0,9
2020-02-20,0,9
2020-02-21,0,9
2020-02-22,0,9
2020-02-23,0,9
2020-02-24,4,13
2020-02-25,0,13
2020-02-26,0,13
2020-02-27,0,13
2020-02-28,6,19
2020-02-29,4,23
2020-03-01,12,35
2020-03-02,5,40
2020-03-03,11,51
2020-03-04,34,85
2020-03-05,29,114
2020-03-06,46,160
2020-03-07,46,206
2020-03-08,65,271
2020-03-09,50,321
2020-03-10,52,373
2020-03-11,83,456
2020-03-12,139,590
2020-03-13,207,797
2020-03-14,264,1061
2020-03-15,330,1391
2020-03-16,152,1543
2020-03-17,407,1950
2020-03-18,676,2626
2020-03-19,643,3269
2020-03-20,714,3983
2020-03-21,1035,5018
2020-03-22,665,5683
2020-03-23,967,6650
2020-03-24,1427,8077
2020-03-25,1452,9529
2020-03-26,2129,11658
2020-03-27,2885,14543
2020-03-28,2546,17089
2020-03-29,2433,19522
2020-03-30,2619,22141
2020-03-31,3009,25150
2020-04-01,4324,29474
2020-04-02,4244,33718
2020-04-03,4450,38168
2020-04-04,3735,41903
2020-04-05,5914,47806
2020-04-06,3802,51608
2020-04-07,3634,55242
2020-04-08,5491,60733
2020-04-09,4344,65077
2020-04-10,5706,73758
2020-04-11,5234,78991
2020-04-12,5288,84279
2020-04-13,4342,88621
2020-04-14,5252,93873
2020-04-15,4605,98476
2020-04-16,4617,103093
